"Term","Estimate","SE"
"(Intercept)",1.69510951235529,0.114880975909921
"size",0.506553477953229,0.0244477976172962
"trtcontrol",0.389611079660613,0.152144692265172
"trtdrought",0.425123986562639,0.138041211359869
"summer.mean.min.temp",0.129575504249411,0.0544192290939319
"size:trtcontrol",-0.127191892745405,0.0356794034228915
"size:trtdrought",-0.119733988707745,0.0319183208383238
"trtcontrol:summer.mean.min.temp",-0.0153129100508243,0.0259519647148514
"trtdrought:summer.mean.min.temp",0.124855099826071,0.0231649857538635
