"Year","Plot","Tag","Xcoor","Ycoor","No.leaves","Stalk_Height","Leaf.length","No.umbels","umbel.diam","YrTag","demo.note","tag.pulled","problem.tag","phenology","plantid","trt","state","psurvival","life_st","pflower","proc.note","No.leavesT1","No.umbelsT1","pflowerT1","psurvivalT1","pflowerTminus1","no.seeds","pseeds"
2025,5,5022,8,"F","1",NA,17,0,NA,NA,"tag is 5022",NA,1,NA,"2055_5","drought","alive",1,"Vegetative",0,NA,"2",1,1,1,1,NA,NA
2026,5,5022,8,"F","2",NA,10,1,NA,NA,"dead umbel",NA,NA,NA,"2055_5","drought","alive",1,"Flowering",1,NA,NA,NA,NA,NA,0,NA,NA
2016,14,2107,13,"A","3",10.5,6,0,NA,2016,"",NA,NA,NA,"2107_14","drought","alive",1,"Vegetative",0,NA,NA,NA,NA,NA,NA,NA,NA
2021,4,2230,10,"J","3",33,19.5,2,"8",2021,"",NA,NA,NA,"2230_4","irrigated","alive",1,"Flowering",1,NA,"4",3,1,1,NA,8,1
2022,4,2230,10,"J","4",36.5,22.5,3,"13.5",2021,"",NA,NA,NA,"2230_4","irrigated","alive",1,"Flowering",1,NA,"5",3,1,1,1,24,1
2023,4,2230,10,"J","5",49,23,3,"13",2021,"",NA,NA,NA,"2230_4","irrigated","alive",1,"Flowering",1,NA,"3",0,0,1,1,22,1
2024,4,2230,10,"J","3",NA,25,0,NA,NA,"",NA,NA,NA,"2230_4","irrigated","alive",1,"Vegetative",0,NA,"7",3,1,1,1,NA,NA
2025,4,2230,10,"J","7",37.5,25,3,"10.5",NA,"",NA,NA,1,"2230_4","irrigated","alive",1,"Flowering",1,NA,"8",3,1,1,0,0,0
2026,4,2230,10,"J","8",43.5,19,3,"12.5",NA,"",NA,NA,NA,"2230_4","irrigated","alive",1,"Flowering",1,NA,NA,NA,NA,NA,1,42,1
2016,14,2928,17,"B","1",7.1,7.1,0,NA,2016,"",NA,NA,NA,"2928_14","drought","alive",1,"Vegetative",0,NA,NA,NA,NA,NA,NA,NA,NA
2016,5,3001,16,"I","4",16.5,8.3,1,"1",2016,"",NA,NA,NA,"3001_5","drought","alive",1,"Flowering",1,NA,"0",NA,NA,0,NA,NA,NA
2017,5,3001,16,"I","0",NA,NA,NA,NA,2016,"No plant/dead?",NA,NA,NA,"3001_5","drought","dead",0,"Dead",NA,NA,NA,NA,NA,NA,1,NA,NA
2016,12,3002,3,"B","5",13.5,7.4,0,NA,2016,"",NA,NA,NA,"3002_12","irrigated","alive",1,"Vegetative",0,NA,"1",2,1,1,NA,NA,NA
2017,12,3002,3,"B","1",17.5,7,2,"2.5",2016,"",NA,NA,NA,"3002_12","irrigated","alive",1,"Flowering",1,NA,"2",0,0,1,0,NA,NA
2018,12,3002,3,"B","2",12.5,12.5,0,NA,2016,"",NA,NA,NA,"3002_12","irrigated","alive",1,"Vegetative",0,NA,"4",2,1,1,1,NA,NA
2019,12,3002,3,"B","4",24,12,2,"4",2016,"",NA,NA,NA,"3002_12","irrigated","alive",1,"Flowering",1,NA,"2",0,0,1,0,NA,NA
2020,12,3002,3,"B","2",NA,13.2,0,NA,2016,"",NA,NA,NA,"3002_12","irrigated","alive",1,"Vegetative",0,NA,"3",0,0,1,1,NA,NA
2021,12,3002,3,"B","3",NA,17.5,0,NA,2016,"",NA,NA,NA,"3002_12","irrigated","alive",1,"Vegetative",0,NA,"7",3,1,1,0,NA,NA
2022,12,3002,3,"B","7",32,16.5,3,"9",2016,"",NA,NA,NA,"3002_12","irrigated","alive",1,"Flowering",1,NA,"1",0,0,1,0,168,1
2023,12,3002,3,"B","1",NA,18,0,NA,2016,"",NA,NA,NA,"3002_12","irrigated","alive",1,"Vegetative",0,NA,"3",1,1,1,1,NA,NA
2024,12,3002,3,"B","3",41,15.5,1,"7",NA,"",NA,NA,NA,"3002_12","irrigated","alive",1,"Flowering",1,NA,"3",0,0,1,0,130,1
2025,12,3002,3,"B","3",NA,29,0,NA,NA,"",NA,NA,NA,"3002_12","irrigated","alive",1,"Vegetative",0,NA,NA,NA,NA,NA,1,NA,NA
2026,12,3002,3,"B",NA,NA,NA,NA,NA,NA,"NPNT",NA,NA,NA,"3002_12","irrigated",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2017,5,3003,10,"C","2",17,10,1,"2.5",2017,"",NA,NA,NA,"3003_5","drought","alive",1,"Flowering",1,NA,"1",0,0,1,NA,NA,NA
2018,5,3003,10,"C","1",11.5,11.5,0,NA,2017,"",NA,NA,NA,"3003_5","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,1,NA,NA
2019,5,3003,10,"C","1",NA,8,0,NA,2017,"",NA,NA,NA,"3003_5","drought","alive",1,"Vegetative",0,NA,NA,NA,NA,NA,0,NA,NA
2020,5,3003,10,"C",NA,NA,NA,NA,NA,2017,"NS",NA,NA,NA,"3003_5","drought",NA,NA,NA,NA,NA,"0",NA,NA,0,0,NA,NA
2021,5,3003,10,"C","0",NA,NA,NA,NA,2017,"NP",NA,NA,NA,"3003_5","drought","dead",0,"Dead",NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,14,3004,0,"A","1",NA,12,0,NA,2021,"",NA,NA,NA,"3004_14","drought","alive",1,"Vegetative",0,NA,"4",3,1,1,NA,NA,NA
2022,14,3004,0,"A","4",64.5,26,3,"10.5",2021,"one umbel eaten ",NA,NA,NA,"3004_14","drought","alive",1,"Flowering",1,NA,"1",0,0,1,0,10,1
2023,14,3004,0,"A","1",NA,20,0,NA,2021,"",NA,NA,NA,"3004_14","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,1,NA,NA
2024,14,3004,0,"A","1",NA,16,0,NA,NA,"sticking up out of moss",NA,NA,NA,"3004_14","drought","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2025,14,3004,0,"A","1",NA,17,0,NA,NA,"sticking up out of moss",NA,NA,NA,"3004_14","drought","alive",1,"Vegetative",0,NA,"0",NA,NA,NA,0,NA,NA
2026,14,3004,0,"A","0",NA,NA,NA,NA,NA,"NP",NA,NA,NA,"3004_14","drought",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2016,6,3005,18,"E","13",38,8.1,3,"4",2016,"Dead leaves, 2 stems",NA,NA,NA,"3005_6","irrigated","alive",1,"Flowering",1,NA,"2",1,1,1,NA,NA,NA
2017,6,3005,18,"E","2",18,10.5,1,"3",2016,"",NA,NA,NA,"3005_6","irrigated","alive",1,"Flowering",1,NA,"2",1,1,1,1,NA,NA
2018,6,3005,18,"E","2",16,13.5,1,"2.3",2016,"",NA,NA,NA,"3005_6","irrigated","alive",1,"Flowering",1,NA,"1",1,1,1,1,NA,NA
2019,6,3005,18,"E","1",12,9,1,"1.5",2016,"",NA,NA,NA,"3005_6","irrigated","alive",1,"Flowering",1,NA,"1",1,1,1,1,NA,NA
2020,6,3005,18,"E","1",19.5,10.2,1,"2.2",2016,"",NA,NA,NA,"3005_6","irrigated","alive",1,"Flowering",1,NA,"1",0,0,1,1,NA,NA
2021,6,3005,18,"E","1",NA,14,0,NA,2016,"",NA,NA,NA,"3005_6","irrigated","alive",1,"Vegetative",0,NA,"2",1,1,1,1,NA,NA
2022,6,3005,18,"E","2",24,13.5,1,"3.5",2016," ",NA,NA,NA,"3005_6","irrigated","alive",1,"Flowering",1,NA,"2",1,1,1,0,0,0
2023,6,3005,18,"E","2",30,18,1,"4",2016,"at some point we saw 4 umbels, but now there's only 1",NA,NA,NA,"3005_6","irrigated","alive",1,"Flowering",1,NA,"1",0,0,1,1,0,0
2024,6,3005,18,"E","1",NA,18,0,NA,NA,"",NA,NA,NA,"3005_6","irrigated","alive",1,"Vegetative",0,NA,"1",1,1,1,1,NA,NA
2025,6,3005,18,"E","1",24,19,1,"3",NA,"",NA,NA,NA,"3005_6","irrigated","alive",1,"Flowering",1,NA,"1",0,0,1,0,NA,NA
2026,6,3005,18,"E","1",NA,15,0,NA,NA,"",NA,NA,NA,"3005_6","irrigated","alive",1,"Vegetative",0,NA,NA,NA,NA,NA,1,NA,NA
2018,15,3006,18,"B","3",23,23,0,NA,2018,"",NA,NA,NA,"3006_15","drought","alive",1,"Vegetative",0,NA,"2",1,1,1,NA,NA,NA
2019,15,3006,18,"B","2",17,13,1,"1.5",2018,"",NA,NA,NA,"3006_15","drought","alive",1,"Flowering",1,NA,NA,NA,NA,1,0,NA,NA
2020,15,3006,18,"B",NA,NA,NA,NA,NA,2018,"NS",NA,NA,NA,"3006_15","drought",NA,1,NA,NA,NA,"3",1,1,1,1,NA,NA
2021,15,3006,18,"B","3",29.5,23.5,1,"3",2018,"",NA,NA,NA,"3006_15","drought","alive",1,"Flowering",1,NA,"3",1,1,1,NA,NA,NA
2022,15,3006,18,"B","3",37,25,1,"4",2018,"",NA,NA,NA,"3006_15","drought","alive",1,"Flowering",1,NA,"3",2,1,1,1,32,1
2023,15,3006,18,"B","3",64,20.5,2,"12",2018,"",NA,NA,NA,"3006_15","drought","alive",1,"Flowering",1,NA,"0",NA,NA,0,1,12,1
2024,15,3006,18,"B","0",NA,NA,NA,NA,NA,"NP",NA,NA,NA,"3006_15","drought","dead",0,"Dead",NA,NA,NA,NA,NA,NA,1,NA,NA
2016,4,3007,4,"H","9",14.7,6.4,0,NA,2016,"",NA,NA,NA,"3007_4","irrigated","alive",1,"Vegetative",0,NA,"3",0,0,1,NA,NA,NA
2017,4,3007,4,"H","3",14,12,0,NA,2016,"",NA,NA,NA,"3007_4","irrigated","alive",1,"Vegetative",0,NA,"2",0,0,1,0,NA,NA
2018,4,3007,4,"H","2",13,13,0,NA,2016,"",NA,NA,NA,"3007_4","irrigated","alive",1,"Vegetative",0,NA,NA,NA,NA,1,0,NA,NA
2019,4,3007,4,"H",NA,NA,NA,NA,NA,2016,"NPNT",NA,NA,NA,"3007_4","irrigated",NA,1,NA,NA,NA,"1",0,0,1,0,NA,NA
2020,4,3007,4,"H","1",NA,16.1,0,NA,2016,"",NA,NA,NA,"3007_4","irrigated","alive",1,"Vegetative",0,NA,"1",0,0,1,NA,NA,NA
2021,4,3007,4,"H","1",NA,18,0,NA,2016,"",NA,NA,NA,"3007_4","irrigated","alive",1,"Vegetative",0,NA,"3",1,1,1,0,NA,NA
2022,4,3007,4,"H","3",41,13.5,1,"5",2016,"",NA,NA,NA,"3007_4","irrigated","alive",1,"Flowering",1,NA,"1",0,0,1,0,56,1
2023,4,3007,4,"H","1",NA,26,0,NA,2016,"",NA,NA,NA,"3007_4","irrigated","alive",1,"Vegetative",0,NA,"2",0,0,1,1,NA,NA
2024,4,3007,4,"H","2",NA,21,0,NA,NA,"",NA,NA,NA,"3007_4","irrigated","alive",1,"Vegetative",0,NA,"2",0,0,1,0,NA,NA
2025,4,3007,4,"H","2",NA,25,0,NA,NA,"",NA,NA,NA,"3007_4","irrigated","alive",1,"Vegetative",0,NA,"2",0,0,1,0,NA,NA
2026,4,3007,4,"H","2",NA,13,0,NA,NA,"",NA,NA,NA,"3007_4","irrigated","alive",1,"Vegetative",0,NA,NA,NA,NA,NA,0,NA,NA
2016,6,3008,4,"J","6",25.3,7.8,1,"6.1",2016,"Dead leaves",NA,NA,NA,"3008_6","irrigated","alive",1,"Flowering",1,NA,"5",3,1,1,NA,NA,NA
2017,6,3008,4,"J","5",24.5,12.5,3,"4",2016,"",NA,NA,NA,"3008_6","irrigated","alive",1,"Flowering",1,NA,"2",0,0,1,1,NA,NA
2018,6,3008,4,"J","2",12.5,12.5,0,NA,2016,"",NA,NA,NA,"3008_6","irrigated","alive",1,"Vegetative",0,NA,"1",0,0,1,1,NA,NA
2019,6,3008,4,"J","1",NA,21.5,0,NA,2016,"",NA,NA,NA,"3008_6","irrigated","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2020,6,3008,4,"J","1",NA,15.5,0,NA,2016,"",NA,NA,NA,"3008_6","irrigated","alive",1,"Vegetative",0,NA,"2",0,0,1,0,NA,NA
2021,6,3008,4,"J","2",NA,24.5,0,NA,2016,"",NA,NA,NA,"3008_6","irrigated","alive",1,"Vegetative",0,NA,"2",1,1,1,0,NA,NA
2022,6,3008,4,"J","2",51,27,1,"7",2016,"",NA,NA,NA,"3008_6","irrigated","alive",1,"Flowering",1,NA,"3",2,1,1,0,112,1
2023,6,3008,4,"J","3",39,19,2,"11",2016,"",NA,NA,NA,"3008_6","irrigated","alive",1,"Flowering",1,NA,"2",1,1,1,1,32,1
2024,6,3008,4,"J","2",23,16.5,1,"4",NA,"",NA,NA,NA,"3008_6","irrigated","alive",1,"Flowering",1,NA,"0",NA,NA,0,1,0,0
2025,6,3008,4,"J","0",NA,NA,NA,NA,NA,"NP",NA,NA,NA,"3008_6","irrigated","dead",0,"Dead",NA,NA,NA,NA,NA,NA,1,NA,NA
2016,13,3009,17,"J","4",28.5,7.6,1,"3.4",2016,"",NA,NA,NA,"3009_13","control","alive",1,"Flowering",1,NA,"5",1,1,1,NA,NA,NA
2017,13,3009,17,"J","5",21,12.5,1,"2.5",2016,"",NA,NA,NA,"3009_13","control","alive",1,"Flowering",1,NA,"6",2,1,1,1,NA,NA
2018,13,3009,17,"J","6",11,9.5,2,"3.5",2016,"",NA,NA,NA,"3009_13","control","alive",1,"Flowering",1,NA,"5",1,1,1,1,NA,NA
2019,13,3009,17,"J","5",21,13.5,1,"3",2016,"",NA,NA,NA,"3009_13","control","alive",1,"Flowering",1,NA,"0",NA,NA,0,1,NA,NA
2020,13,3009,17,"J","0",NA,NA,NA,NA,2016,"no plant",NA,NA,NA,"3009_13","control","dead",0,"Dead",NA,NA,NA,NA,NA,NA,1,NA,NA
2016,5,3010,14,"G","3",8.5,3.9,0,NA,2016,"",NA,NA,NA,"3010_5","drought","alive",1,"Vegetative",0,NA,"3",1,1,1,NA,NA,NA
2017,5,3010,14,"G","3",13.5,13,1,"2.5",2016,"",NA,NA,NA,"3010_5","drought","alive",1,"Flowering",1,NA,"2",1,1,1,0,NA,NA
2018,5,3010,14,"G","2",15,11,1,"2.8",2016,"",NA,NA,NA,"3010_5","drought","alive",1,"Flowering",1,NA,"1",0,0,1,1,NA,NA
2019,5,3010,14,"G","1",NA,17.5,0,NA,2016,"",NA,NA,NA,"3010_5","drought","alive",1,"Vegetative",0,NA,NA,NA,NA,1,1,NA,NA
2020,5,3010,14,"G",NA,NA,NA,NA,NA,2016,"NS",NA,NA,NA,"3010_5","drought",NA,1,NA,NA,NA,"1",0,0,1,0,NA,NA
2021,5,3010,14,"G","1",NA,5,0,NA,2016,"",NA,NA,NA,"3010_5","drought","alive",1,"Vegetative",0,NA,"3",2,1,1,NA,NA,NA
2022,5,3010,14,"G","3",25,18,2,"8",2016,"",NA,NA,NA,"3010_5","drought","alive",1,"Flowering",1,NA,"5",3,1,1,0,112,1
2023,5,3010,14,"G","5",33,13,3,"11",2016,"",NA,NA,NA,"3010_5","drought","alive",1,"Flowering",1,NA,"5",2,1,1,1,NA,NA
2024,5,3010,14,"G","5",18,16,2,"6",NA,"",NA,NA,NA,"3010_5","drought","alive",1,"Flowering",1,NA,"4",1,1,1,1,26,1
2025,5,3010,14,"G","4",14,14,1,"3",NA,"",NA,NA,NA,"3010_5","drought","alive",1,"Flowering",1,NA,"3",2,1,1,1,NA,NA
2026,5,3010,14,"G","3",10,14.5,2,"3.5",NA,"",NA,NA,NA,"3010_5","drought","alive",1,"Flowering",1,NA,NA,NA,NA,NA,1,0,0
2016,4,3011,3,"H","3",15.5,8.8,NA,NA,2016,"",NA,NA,NA,"3011_4","irrigated","alive",1,NA,NA,NA,"4",1,1,1,NA,NA,NA
2017,4,3011,3,"H","4",20.5,10,1,"2.5",2016,"",NA,NA,NA,"3011_4","irrigated","alive",1,"Flowering",1,NA,"1",0,0,1,NA,NA,NA
2018,4,3011,3,"H","1",10,10,0,"0",2016,"",NA,NA,NA,"3011_4","irrigated","alive",1,"Vegetative",0,NA,"1",0,0,1,1,NA,NA
2019,4,3011,3,"H","1",NA,10,0,NA,2016,"",NA,NA,NA,"3011_4","irrigated","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2020,4,3011,3,"H","1",NA,9.4,0,NA,2016,"",NA,NA,NA,"3011_4","irrigated","alive",1,"Vegetative",0,NA,NA,NA,NA,0,0,NA,NA
2021,4,3011,3,"H",NA,NA,NA,NA,NA,2016,"NPNT",NA,NA,NA,"3011_4","irrigated","dead",0,"Dead",NA,NA,NA,NA,NA,NA,0,NA,NA
2021,1,3012,17,"G","1",NA,10,0,NA,2021,"",NA,NA,NA,"3012_1","irrigated","alive",1,"Vegetative",0,NA,"1",0,0,1,NA,NA,NA
2022,1,3012,17,"G","1",NA,20,0,NA,2021,"",NA,NA,NA,"3012_1","irrigated","alive",1,"Vegetative",0,NA,"1",1,1,1,0,NA,NA
2023,1,3012,17,"G","1",27,11.5,1,"3",2021,"",NA,NA,NA,"3012_1","irrigated","alive",1,"Flowering",1,NA,"1",1,1,1,0,NA,NA
2024,1,3012,17,"G","1",23.5,9,1,"2",NA,"",NA,NA,NA,"3012_1","irrigated","alive",1,"Flowering",1,NA,"0",NA,NA,0,1,0,0
2025,1,3012,17,"G","0",NA,NA,NA,NA,NA,"NP",NA,NA,NA,"3012_1","irrigated","dead",0,"Dead",NA,NA,NA,NA,NA,NA,1,NA,NA
2017,2,3013,3,"I","1",9.5,9.5,0,NA,2017,"",NA,NA,NA,"3013_2","control","alive",1,"Vegetative",0,NA,"2",0,0,1,NA,NA,NA
2018,2,3013,3,"I","2",13.5,13.5,0,NA,2017,"",NA,NA,NA,"3013_2","control","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2019,2,3013,3,"I","1",NA,8.5,0,NA,2017,"",NA,NA,NA,"3013_2","control","alive",1,"Vegetative",0,NA,"1",0,0,1,0,NA,NA
2020,2,3013,3,"I","1",NA,9.8,0,NA,2017,"",NA,NA,NA,"3013_2","control","alive",1,"Vegetative",0,NA,"2",0,0,1,0,NA,NA
2021,2,3013,3,"I","2",NA,12,0,NA,2017,"",NA,NA,NA,"3013_2","control","alive",1,"Vegetative",0,NA,"1",1,1,1,0,NA,NA
2022,2,3013,3,"I","1",27,13,1,"3",2017,"",NA,NA,NA,"3013_2","control","alive",1,"Flowering",1,NA,"1",1,1,1,0,12,1
2023,2,3013,3,"I","1",13,23,1,NA,2017,"dead umbel. Did not track phenology.",NA,NA,NA,"3013_2","control","alive",1,"Flowering",1,NA,"2",1,1,1,1,NA,NA
2024,2,3013,3,"I","2",30.5,12.5,1,"4",NA,"",NA,NA,NA,"3013_2","control","alive",1,"Flowering",1,NA,"0",NA,NA,0,1,32,1
2025,2,3013,3,"I","0",NA,NA,NA,NA,NA,"NP",NA,NA,NA,"3013_2","control","dead",0,"Dead",NA,NA,NA,NA,NA,NA,1,NA,NA
2016,15,3014,9,"I","8",19,10.2,2,"1.5",2016,"",NA,NA,NA,"3014_15","drought","alive",1,"Flowering",1,NA,"8",3,1,1,NA,NA,NA
2017,15,3014,9,"I","8",9.5,10,3,"2.5",2016,"",NA,NA,NA,"3014_15","drought","alive",1,"Flowering",1,NA,"3",0,0,1,1,NA,NA
2018,15,3014,9,"I","3",16,16,0,NA,2016,"",NA,NA,NA,"3014_15","drought","alive",1,"Vegetative",0,NA,"4",0,0,1,1,NA,NA
2019,15,3014,9,"I","4",NA,13.5,0,NA,2016,"",NA,NA,NA,"3014_15","drought","alive",1,"Vegetative",0,NA,"2",0,0,1,0,NA,NA
2020,15,3014,9,"I","2",NA,12.7,0,NA,2016,"",NA,NA,NA,"3014_15","drought","alive",1,"Vegetative",0,NA,"5",2,1,1,0,NA,NA
2021,15,3014,9,"I","5",10,11,2,"4",2016,"",NA,NA,NA,"3014_15","drought","alive",1,"Flowering",1,NA,"6",2,1,1,0,0,0
2022,15,3014,9,"I","6",19.5,14,2,"6.5",2016,"",NA,NA,NA,"3014_15","drought","alive",1,"Flowering",1,NA,"7",5,1,1,1,52,1
2023,15,3014,9,"I","7",23,14,5,"13",2016,"",NA,NA,NA,"3014_15","drought","alive",1,"Flowering",1,NA,"5",4,1,1,1,NA,NA
2024,15,3014,9,"I","5",24.5,15.5,4,"5",NA,"two umbels are buds; counted not measured",NA,NA,NA,"3014_15","drought","alive",1,"Flowering",1,NA,"0",NA,NA,1,1,0,0
2025,15,3014,9,"I","0",NA,NA,NA,NA,NA,"NP",NA,NA,NA,"3014_15","drought","dormant",1,"Dormant",NA,NA,"2",0,0,1,1,NA,NA
2026,15,3014,9,"I","2",NA,10.5,0,NA,NA,"",NA,NA,NA,"3014_15","drought","alive",1,"Vegetative",0,NA,NA,NA,NA,NA,NA,NA,NA
2017,3,3015,0,"F","2",32,12.5,3,"4.5",2017,"",NA,NA,NA,"3015_3","control","alive",1,"Flowering",1,NA,"3",1,1,1,NA,NA,NA
2018,3,3015,0,"F","3",24,18.5,1,"2.5",2017,"",NA,NA,NA,"3015_3","control","alive",1,"Flowering",1,NA,"1",0,0,1,1,NA,NA
2019,3,3015,0,"F","1",NA,11,0,NA,2017,"one leaf partially eaten",NA,NA,NA,"3015_3","control","alive",1,"Vegetative",0,NA,"0",NA,NA,1,1,NA,NA
2020,3,3015,0,"F","0",NA,NA,NA,NA,2017,"no plant",NA,NA,NA,"3015_3","control","dormant",1,"Dormant",NA,NA,"2",0,0,1,0,NA,NA
2021,3,3015,0,"F","2",NA,14,0,NA,2017,"",NA,NA,NA,"3015_3","control","alive",1,"Vegetative",0,NA,"3",1,1,1,NA,NA,NA
2022,3,3015,0,"F","3",34,17,1,"5",2017,"",NA,NA,NA,"3015_3","control","alive",1,"Flowering",1,NA,"6",3,1,1,0,0,0
2023,3,3015,0,"F","6",45,20,3,"16",2017,"",NA,NA,NA,"3015_3","control","alive",1,"Flowering",1,NA,"4",2,1,1,1,134,1
2024,3,3015,0,"F","4",41.5,24,2,"8",NA,"",NA,NA,NA,"3015_3","control","alive",1,"Flowering",1,NA,"2",1,1,1,1,122,1
2025,3,3015,0,"F","2",26,22,1,"3.5",NA,"",NA,NA,1,"3015_3","control","alive",1,"Flowering",1,NA,"4",1,1,1,1,0,0
2026,3,3015,0,"F","4",14,20.5,1,"6.5",NA,"",NA,NA,NA,"3015_3","control","alive",1,"Flowering",1,NA,NA,NA,NA,NA,1,50,1
2016,15,3017,7,"G","3",27.5,12,1,"2.8",2016,"",NA,NA,NA,"3017_15","drought","alive",1,"Flowering",1,NA,"8",4,1,1,NA,NA,NA
2017,15,3017,7,"G","8",33,12,4,"3.5",2016,"",NA,NA,NA,"3017_15","drought","alive",1,"Flowering",1,NA,"4",2,1,1,1,NA,NA
2018,15,3017,7,"G","4",24,13,2,"2.4",2016,"",NA,NA,NA,"3017_15","drought","alive",1,"Flowering",1,NA,"2",1,1,1,1,NA,NA
2019,15,3017,7,"G","2",16.5,11,1,"2",2016,"",NA,NA,NA,"3017_15","drought","alive",1,"Flowering",1,NA,"1",0,0,1,1,NA,NA
2020,15,3017,7,"G","1",NA,15.2,0,NA,2016,"",NA,NA,NA,"3017_15","drought","alive",1,"Vegetative",0,NA,"2",0,0,1,1,NA,NA
2021,15,3017,7,"G","2",NA,16,0,NA,2016,"",NA,NA,NA,"3017_15","drought","alive",1,"Vegetative",0,NA,"6",2,1,1,0,NA,NA
2022,15,3017,7,"G","6",36,19,2,"5",2016,"",NA,NA,NA,"3017_15","drought","alive",1,"Flowering",1,NA,"4",3,1,1,0,70,1
2023,15,3017,7,"G","4",39,16,3,"7",2016,"1 umbel dead",NA,NA,NA,"3017_15","drought","alive",1,"Flowering",1,NA,"3",2,1,1,1,NA,NA
2024,15,3017,7,"G","3",32,16,2,"5",NA,"",NA,NA,NA,"3017_15","drought","alive",1,"Flowering",1,NA,"3",0,0,1,1,48,1
2025,15,3017,7,"G","3",NA,15,0,NA,NA,"",NA,NA,NA,"3017_15","drought","alive",1,"Vegetative",0,NA,"4",0,0,1,1,NA,NA
2026,15,3017,7,"G","4",NA,16.5,0,NA,NA,"",NA,NA,NA,"3017_15","drought","alive",1,"Vegetative",0,NA,NA,NA,NA,NA,0,NA,NA
2017,13,3018,10,"G","2",19,13,2,"4",2017,"",NA,NA,NA,"3018_13","control","alive",1,"Flowering",1,NA,"3",1,1,1,NA,NA,NA
2018,13,3018,10,"G","3",9.5,10.5,1,"2.4",2017,"",NA,NA,NA,"3018_13","control","alive",1,"Flowering",1,NA,"4",2,1,1,1,NA,NA
2019,13,3018,10,"G","4",21,15.5,2,"4.5",2017,"one leaf pulled off",NA,NA,NA,"3018_13","control","alive",1,"Flowering",1,NA,NA,NA,NA,1,1,NA,NA
2020,13,3018,10,"G",NA,NA,NA,NA,NA,2017,"NS",NA,NA,NA,"3018_13","control",NA,1,NA,NA,NA,"3",1,1,1,1,NA,NA
2021,13,3018,10,"G","3",20,15.5,1,"3.5",2017,"",NA,NA,NA,"3018_13","control","alive",1,"Flowering",1,NA,"4",3,1,1,NA,0,0
2022,13,3018,10,"G","4",36,13,3,"13.5",2017,"",NA,NA,NA,"3018_13","control","alive",1,"Flowering",1,NA,"6",5,1,1,1,218,1
2023,13,3018,10,"G","6",32,12,5,"19",2017,"",NA,NA,NA,"3018_13","control","alive",1,"Flowering",1,NA,"4",3,1,1,1,210,1
2024,13,3018,10,"G","4",31.5,9,3,"5",NA,"two basal leaves gone",NA,NA,NA,"3018_13","control","alive",1,"Flowering",1,NA,"3",4,1,1,1,72,1
2025,13,3018,10,"G","3",23.5,13,4,"10",NA,"",NA,NA,NA,"3018_13","control","alive",1,"Flowering",1,NA,"5",2,1,1,1,NA,NA
2026,13,3018,10,"G","5",20,18,2,NA,NA,"",NA,NA,NA,"3018_13","control","alive",1,"Flowering",1,NA,NA,NA,NA,NA,1,0,0
