"variable","future.precip","future.temp","future"
"spring.mean.min.temp",0,1.40893354033728,1.40893354033728
"spring.mean.max.temp",0,1.32539147383255,1.32539147383255
"spring.mean.temp",0,1.4321039687509,1.4321039687509
"winter.mean.min.temp",0,0.580894026464773,0.580894026464773
"winter.mean.max.temp",0,1.20969381994651,1.20969381994651
"winter.mean.temp",0,0.873853430714308,0.873853430714308
"summer.mean.min.temp",0,3.29780575560805,3.29780575560805
"summer.mean.max.temp",0,1.96267403462065,1.96267403462065
"summer.mean.temp",0,2.44915080600851,2.44915080600851
"fall.mean.min.temp",0,1.23341410399315,1.23341410399315
"fall.mean.max.temp",0,2.40233735504495,2.40233735504495
"fall.mean.temp",0,2.74453475871765,2.74453475871765
"spring.tot.precip",-0.0380218437636938,0,-0.0380218437636938
"winter.tot.precip",0.567638258652016,0,0.567638258652016
"summer.tot.precip",-0.297647111311728,0,-0.297647111311728
"fall.tot.precip",0.0808298836968194,0,0.0808298836968194
