"Year","Plot","trt","plantid","Xcoor","Ycoor","Height","No.stems","No.stemsT1","No.panicles","No.paniclesT1","stage","survT","survT1","pflowerT","pflowerT1","first_year_seen","Notes"
2018,"8","control","8_19B",19,"B",91.5,7,NA,1,NA,"small","1",NA,"1",NA,2016,""
2019,"8","control","8_19B",19,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"MISSING"
2020,"8","control","8_19B",19,"B",NA,NA,11,NA,0,NA,NA,"1",NA,"0",2016,"missing"
2021,"8","control","8_19B",19,"B",28,11,NA,0,NA,"medium","1","0","0",NA,2016,"In 18A."
2022,"8","control","8_19B",19,"B",NA,NA,NA,NA,NA,"dead","0",NA,NA,NA,2016,"NP"
2016,"8","control","8_19D",19,"D",49,7,2,1,1,"small","1","1","1","1",2016,""
2017,"8","control","8_19D",19,"D",59.5,2,1,1,0,"small","1","1","1","0",2016,""
2018,"8","control","8_19D",19,"D",53.5,1,NA,0,NA,"small","1","0","0",NA,2016,""
2019,"8","control","8_19D",19,"D",NA,NA,NA,NA,NA,"dead","0",NA,NA,NA,2016,"MISSING"
2025,"8","control","8_19D_2",19,"D",50,5,NA,1,NA,"small","1",NA,"1",NA,2025,"some stems grazed, new? Small panicle"
2021,"8","control","8_19G",19,"G",29,2,3,0,0,"seedling","1","1","0","0",2021,""
2022,"8","control","8_19G",19,"G",76,3,NA,0,NA,"small","1","0","0",NA,2021,""
2023,"8","control","8_19G",19,"G",NA,NA,NA,NA,NA,"dead","0",NA,NA,NA,2021,"np"
2016,"8","control","8_19H",19,"H",78,43,7,13,5,"large","1","1","1","1",2016,""
2017,"8","control","8_19H",19,"H",49,7,3,5,0,"small","1","1","1","0",2016,""
2018,"8","control","8_19H",19,"H",44.5,3,1,0,0,"small","1","1","0","0",2016,""
2019,"8","control","8_19H",19,"H",32,1,3,0,0,"small","1","1","0","0",2016,""
2020,"8","control","8_19H",19,"H",39,3,NA,0,NA,"small","1","0","0",NA,2016,""
2021,"8","control","8_19H",19,"H",0,NA,NA,NA,NA,"dead","0",NA,NA,NA,2016,"NP. But new plants in 19I and 19G"
2021,"8","control","8_19I",19,"I",40,3,4,0,0,"seedling","1","1","0","0",2021,""
2022,"8","control","8_19I",19,"I",92,4,10,0,0,"small","1","1","0","0",2021,""
2023,"8","control","8_19I",19,"I",55,10,3,0,0,"medium","1","1","0","0",2021,""
2024,"8","control","8_19I",19,"I",41,3,3,0,0,"small","1","1","0","0",2021,"19I + 19J"
2025,"8","control","8_19I",19,"I",35,3,NA,0,NA,"small","1",NA,"0",NA,2021,"19I-19J, vole hole"
2021,"8","control","8_1A",1,"A",37,6,NA,0,NA,"seedling","1","0","0",NA,2021,""
2022,"8","control","8_1A",1,"A",NA,NA,NA,NA,NA,"dead","0",NA,NA,NA,2021,"NP"
2021,"8","control","8_1B",1,"B",29,9,NA,0,NA,"medium","1","0","0",NA,2021,""
2022,"8","control","8_1B",1,"B",NA,NA,NA,NA,NA,"dead","0",NA,NA,NA,2021,"NP"
2021,"8","control","8_1F",1,"F",27,4,NA,0,NA,"seedling","1","0","0",NA,2021,""
2022,"8","control","8_1F",1,"F",NA,NA,NA,NA,NA,"dead","0",NA,NA,NA,2021,"NP"
2021,"8","control","8_2G",2,"G",28.5,2,NA,0,NA,"seedling","1","0","0",NA,2021,""
2022,"8","control","8_2G",2,"G",NA,NA,NA,NA,NA,"dead","0",NA,NA,NA,2021,"NP"
2023,"8","control","8_5C",5,"C",50,11,19,0,0,"medium","1","1","0","0",2023,"is this new?"
2024,"8","control","8_5C",5,"C",57,19,14,0,0,"medium","1","1","0","0",2023,"is this new?"
2025,"8","control","8_5C",5,"C",58,14,NA,0,NA,"medium","1",NA,"0",NA,2023,""
2022,"8","control","8_5G",5,"G",74,5,8,0,1,"seedling","1","1","0","1",2022,"new in 2022"
2023,"8","control","8_5G",5,"G",58,8,8,1,0,"small","1","1","1","0",2022,""
2024,"8","control","8_5G",5,"G",78,8,4,0,0,"small","1","1","0","0",2022,""
2025,"8","control","8_5G",5,"G",56,4,NA,0,NA,"small","1",NA,"0",NA,2022,""
2016,"8","control","8_7B",7,"B",58.5,23,11,5,7,"medium","1","1","1","1",2016,""
2017,"8","control","8_7B",7,"B",70,11,12,7,0,"medium","1","1","1","0",2016,""
2018,"8","control","8_7B",7,"B",72,12,6,0,0,"medium","1","1","0","0",2016,""
2019,"8","control","8_7B",7,"B",54,6,1,0,0,"small","1","1","0","0",2016,"CLOSER TO 7C, OR NEW PLANT?"
2020,"8","control","8_7B",7,"B",13,1,NA,0,NA,"small","1",NA,"0",NA,2016,"in 7C, dead Dactlyis stem"
2021,"8","control","8_7B",7,"B",0,NA,3,NA,0,NA,NA,"1",NA,"0",2016,"NP "
2022,"8","control","8_7B",7,"B",87,3,14,0,1,"small","1","1","0","1",2016,"could be a new plant"
2023,"8","control","8_7B",7,"B",96,14,10,1,0,"medium","1","1","1","0",2016,""
2024,"8","control","8_7B",7,"B",79,10,36,0,0,"medium","1","1","0","0",2016,""
2025,"8","control","8_7B",7,"B",50,36,NA,0,NA,"large","1",NA,"0",NA,2016,""
2020,"8","control","8_8A",8,"A",112,17,10,11,2,"medium","1","1","1","1",2020,""
2021,"8","control","8_8A",8,"A",97.5,10,17,2,2,"medium","1","1","1","1",2020,""
2022,"8","control","8_8A",8,"A",129,17,14,2,1,"medium","1","1","1","1",2020,"big clump - 8A-9A"
2023,"8","control","8_8A",8,"A",66,14,15,1,1,"medium","1","1","1","1",2020,""
2024,"8","control","8_8A",8,"A",126,15,11,1,1,"medium","1","1","1","1",2020,"big clump 8A-9A"
2025,"8","control","8_8A",8,"A",109,11,NA,1,NA,"medium","1",NA,"1",NA,2020,"big clump 8A-9A"
2023,"8","control","8_9D",9,"D",47,2,NA,0,NA,"seedling","1","0","0",NA,2023,"closer to 9C than the other new one in 9E"
2024,"8","control","8_9D",9,"D",NA,NA,NA,NA,NA,"dead","0",NA,NA,NA,2023,"NP, closer to 9C than the other new one in 9E"
2023,"8","control","8_9E",9,"E",30,1,NA,1,NA,"small","1","0","1",NA,2023,""
2024,"8","control","8_9E",9,"E",NA,NA,NA,NA,NA,"dead","0",NA,NA,NA,2023,"NP"
2016,"9","irrigated","9_0B",0,"B",81,17,5,2,2,"medium","1","1","1","1",2016,""
2017,"9","irrigated","9_0B",0,"B",48,5,3,2,0,"small","1","1","1","0",2016,"May be combined with 16G"
2018,"9","irrigated","9_0B",0,"B",37,3,3,0,0,"small","1","1","0","0",2016,""
2019,"9","irrigated","9_0B",0,"B",27,3,1,0,0,"small","1","1","0","0",2016,""
2020,"9","irrigated","9_0B",0,"B",62.5,1,2,0,0,"small","1","1","0","0",2016,"in 0A"
2021,"9","irrigated","9_0B",0,"B",60,2,NA,0,NA,"small","1","0","0",NA,2016,""
2022,"9","irrigated","9_0B",0,"B",NA,NA,NA,NA,NA,"dead","0",NA,NA,NA,2016,""
2025,"9","irrigated","9_11.12G",11,"G",128,30,NA,2,NA,"large","1",NA,"1",NA,2025,"ate 12G"
2021,"9","irrigated","9_11G",11,"G",55.5,3,3,0,0,"seedling","1","1","0","0",2021,""
2022,"9","irrigated","9_11G",11,"G",64,3,8,0,0,"small","1","1","0","0",2021,""
2023,"9","irrigated","9_11G",11,"G",66,8,11,0,0,"small","1","1","0","0",2021,""
2024,"9","irrigated","9_11G",11,"G",100,11,NA,0,NA,"medium","1",NA,"0",NA,2021,""
2021,"9","irrigated","9_12G",12,"G",104,4,3,0,1,"seedling","1","1","0","1",2021,""
2022,"9","irrigated","9_12G",12,"G",108,3,11,1,0,"small","1","1","1","0",2021,""
2023,"9","irrigated","9_12G",12,"G",69,11,5,0,0,"medium","1","1","0","0",2021,""
2024,"9","irrigated","9_12G",12,"G",90,5,NA,0,NA,"small","1",NA,"0",NA,2021,"closer to 12H/I"
2019,"9","irrigated","9_13G",13,"G",58.5,1,1,0,0,"seedling","1","1","0","0",2019,"NEW PLANT"
2020,"9","irrigated","9_13G",13,"G",5,1,3,0,1,"small","1","1","0","1",2019,""
2021,"9","irrigated","9_13G",13,"G",123,3,9,1,0,"small","1","1","1","0",2019,""
2022,"9","irrigated","9_13G",13,"G",95.5,9,4,0,0,"medium","1","1","0","0",2019,""
2023,"9","irrigated","9_13G",13,"G",83,4,2,0,0,"small","1","1","0","0",2019,""
2024,"9","irrigated","9_13G",13,"G",61,2,4,0,0,"small","1","1","0","0",2019,""
2025,"9","irrigated","9_13G",13,"G",77,4,NA,0,NA,"small","1",NA,"0",NA,2019,""
2017,"9","irrigated","9_14A",14,"A",72,5,4,3,0,"small","1","1","1","0",2017,"New"
2018,"9","irrigated","9_14A",14,"A",79.5,4,NA,0,NA,"small","1",NA,"0",NA,2017,""
2019,"9","irrigated","9_14A",14,"A",NA,NA,1,NA,0,NA,NA,"1",NA,"0",2017,"MISSING"
2020,"9","irrigated","9_14A",14,"A",64,1,NA,0,NA,"small","1",NA,"0",NA,2017,""
2021,"9","irrigated","9_14A_2",14,"A",168,105,70,7,1,"large","1","1","1","1",2021,"Very large, covers 13-15 A-D, part might be outside plot. Lots of fungus"
2022,"9","irrigated","9_14A_2",14,"A",154,70,81,1,0,"large","1","1","1","0",2021,"big! Spans 14-16 &outside of plot -C"
2023,"9","irrigated","9_14A_2",14,"A",123,81,8,0,0,"large","1","1","0","0",2021,"big, spans 14-16 through outside of plot to C"
2024,"9","irrigated","9_14A_2",14,"A",77,8,36,0,0,"small","1","1","0","0",2021,"big, spans 14-16 through outside of plot to C; lots of thatch, stems are sparse but assume all same plant"
2025,"9","irrigated","9_14A_2",14,"A",107,36,NA,0,NA,"large","1",NA,"0",NA,2021,"big, spans 14-16 through outside of plot to C"
2017,"9","irrigated","9_15C",15,"C",100,21,15,6,1,"medium","1","1","1","1",2017,"New"
2018,"9","irrigated","9_15C",15,"C",89,15,41,1,0,"medium","1","1","1","0",2017,""
2019,"9","irrigated","9_15C",15,"C",84,41,50,0,4,"large","1","1","0","1",2017,""
2020,"9","irrigated","9_15C",15,"C",165,50,NA,4,NA,"large","1","0","1",NA,2017,""
2021,"9","irrigated","9_15C",15,"C",0,NA,NA,NA,NA,"dead","0",NA,NA,NA,2017,"NP "
2019,"9","irrigated","9_15G",15,"G",48.5,1,3,0,0,"seedling","1","1","0","0",2019,""
2020,"9","irrigated","9_15G",15,"G",42,3,1,0,0,"small","1","1","0","0",2019,""
2021,"9","irrigated","9_15G",15,"G",66,1,2,0,0,"small","1","1","0","0",2019,""
2022,"9","irrigated","9_15G",15,"G",78,2,1,0,0,"small","1","1","0","0",2019,""
2023,"9","irrigated","9_15G",15,"G",18,1,NA,0,NA,"small","1","0","0",NA,2019,""
2024,"9","irrigated","9_15G",15,"G",NA,NA,NA,NA,NA,"dead","0",NA,NA,NA,2019,"NP"
2019,"9","irrigated","9_15J",15,"J",42,3,5,0,0,"seedling","1","1","0","0",2019,""
2020,"9","irrigated","9_15J",15,"J",54,5,8,0,0,"small","1","1","0","0",2019,""
2021,"9","irrigated","9_15J",15,"J",66,8,6,0,0,"small","1","1","0","0",2019,""
2022,"9","irrigated","9_15J",15,"J",83,6,8,0,0,"small","1","1","0","0",2019,""
2023,"9","irrigated","9_15J",15,"J",69,8,1,0,0,"small","1","1","0","0",2019,""
2024,"9","irrigated","9_15J",15,"J",94,1,22,0,0,"small","1","1","0","0",2019,"lots of thatch"
2025,"9","irrigated","9_15J",15,"J",80,22,NA,0,NA,"medium","1",NA,"0",NA,2019,""
2022,"9","irrigated","9_17F",17,"F",94.5,3,6,0,0,"seedling","1","1","0","0",2022,"new in 2022"
2023,"9","irrigated","9_17F",17,"F",71,6,NA,0,NA,"small","1","0","0",NA,2022,"orange fungus"
2024,"9","irrigated","9_17F",17,"F",NA,NA,NA,NA,NA,"dead","0",NA,NA,NA,2022,"NP"
2020,"9","irrigated","9_17I",17,"I",32,1,1,0,0,"seedling","1","1","0","0",2020,""
2021,"9","irrigated","9_17I",17,"I",63.5,1,NA,0,NA,"small","1","0","0",NA,2020,""
2022,"9","irrigated","9_17I",17,"I",NA,NA,NA,NA,NA,"dead","0",NA,NA,NA,2020,"NP"
2017,"9","irrigated","9_18G",18,"G",55,2,3,1,0,"small","1","1","1","0",2017,"New"
2018,"9","irrigated","9_18G",18,"G",54,3,NA,0,NA,"small","1","0","0",NA,2017,""
2019,"9","irrigated","9_18G",18,"G",NA,NA,NA,NA,NA,"dead","0",NA,NA,NA,2017,"MISSING"
2021,"9","irrigated","9_18G",18,"G",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,"NP. Made it part of the 19F plant"
2022,"9","irrigated","9_18G",18,"G",NA,NA,4,NA,0,NA,NA,"1",NA,"0",2017,"2021: part of the 19F plant"
2023,"9","irrigated","9_18G",18,"G",81,4,2,0,0,"small","1","1","0","0",2017,""
2024,"9","irrigated","9_18G",18,"G",79,2,5,0,0,"small","1","1","0","0",2017,""
2025,"9","irrigated","9_18G",18,"G",63,5,NA,0,NA,"small","1",NA,"0",NA,2017,""
2021,"9","irrigated","9_19C",19,"C",69.5,2,1,0,0,"seedling","1","1","0","0",2021,""
2022,"9","irrigated","9_19C",19,"C",70,1,2,0,0,"small","1","1","0","0",2021,""
2023,"9","irrigated","9_19C",19,"C",64,2,3,0,0,"small","1","1","0","0",2021,""
2024,"9","irrigated","9_19C",19,"C",73,3,9,0,0,"small","1","1","0","0",2021,"orange fungus"
2025,"9","irrigated","9_19C",19,"C",87,9,NA,0,NA,"medium","1",NA,"0",NA,2021,""
2017,"9","irrigated","9_19D",19,"D",74,3,5,2,2,"small","1","1","1","1",2017,"New"
2018,"9","irrigated","9_19D",19,"D",70,5,2,2,1,"small","1","1","1","1",2017,""
2019,"9","irrigated","9_19D",19,"D",46,2,3,1,2,"small","1","1","1","1",2017,""
2020,"9","irrigated","9_19D",19,"D",98,3,2,2,0,"small","1","1","1","0",2017,""
2021,"9","irrigated","9_19D",19,"D",58.5,2,1,0,0,"small","1","1","0","0",2017,""
2022,"9","irrigated","9_19D",19,"D",83.5,1,NA,0,NA,"small","1","0","0",NA,2017,""
2023,"9","irrigated","9_19D",19,"D",NA,NA,NA,NA,NA,"dead","0",NA,NA,NA,2017,"np"
2016,"9","irrigated","9_19F",19,"F",103.5,2,6,2,4,"small","1","1","1","1",2016,""
2017,"9","irrigated","9_19F",19,"F",85,6,13,4,0,"small","1","1","1","0",2016,""
2018,"9","irrigated","9_19F",19,"F",64,13,10,0,1,"medium","1","1","0","1",2016,""
2019,"9","irrigated","9_19F",19,"F",60,10,16,1,7,"medium","1","1","1","1",2016,""
2020,"9","irrigated","9_19F",19,"F",132,16,23,7,6,"medium","1","1","1","1",2016,""
2021,"9","irrigated","9_19F",19,"F",141,23,27,6,1,"medium","1","1","1","1",2016,"Lots orange fungus."
2022,"9","irrigated","9_19F",19,"F",94,27,22,1,1,"large","1","1","1","1",2016,"pancile not the longest thing, leaf is"
2023,"9","irrigated","9_19F",19,"F",76,22,11,1,0,"medium","1","1","1","0",2016,""
2024,"9","irrigated","9_19F",19,"F",104,11,7,0,0,"medium","1","1","0","0",2016,""
2025,"9","irrigated","9_19F",19,"F",82,7,NA,0,NA,"small","1",NA,"0",NA,2016,""
2017,"9","irrigated","9_3H",3,"H",62.5,4,4,2,0,"small","1","1","1","0",2017,"New"
2018,"9","irrigated","9_3H",3,"H",51,4,10,0,1,"small","1","1","0","1",2017,""
2019,"9","irrigated","9_3H",3,"H",77,10,24,1,4,"medium","1","1","1","1",2017,""
2020,"9","irrigated","9_3H",3,"H",122,24,91,4,5,"medium","1","1","1","1",2017,""
2021,"9","irrigated","9_3H",3,"H",138,91,84,5,0,"large","1","1","1","0",2017,""
2022,"9","irrigated","9_3H",3,"H",118,84,85,0,0,"large","1","1","0","0",2017,""
2023,"9","irrigated","9_3H",3,"H",101,85,5,0,0,"large","1","1","0","0",2017,""
2024,"9","irrigated","9_3H",3,"H",80,5,19,0,0,"small","1","1","0","0",2017,"it shrank, lots of thatch"
2025,"9","irrigated","9_3H",3,"H",92,19,NA,0,NA,"medium","1",NA,"0",NA,2017,""
2016,"9","irrigated","9_6C",6,"C",125,28,34,5,8,"large","1","1","1","1",2016,""
2017,"9","irrigated","9_6C",6,"C",62,34,NA,8,NA,"large","1",NA,"1",NA,2016,""
2018,"9","irrigated","9_7C",7,"C",50,6,16,0,0,"seedling","1","1","0","0",2018,"combined plants from last years 6c and 8c since it is one bigger plant growing in 7c"
2019,"9","irrigated","9_7C",7,"C",57,16,12,0,0,"medium","1","1","0","0",2018,"CLOSER TO 7D OR 7E"
2020,"9","irrigated","9_7C",7,"C",55,12,29,0,0,"medium","1","1","0","0",2018,"in 7D/7E this year too"
2021,"9","irrigated","9_7C",7,"C",80.5,29,31,0,0,"large","1","1","0","0",2018,"In 7D/7E. Orange fungus on stems"
2022,"9","irrigated","9_7C",7,"C",92,31,28,0,0,"large","1","1","0","0",2018,""
2023,"9","irrigated","9_7C",7,"C",68,28,16,0,0,"large","1","1","0","0",2018,"still separate from 9E but they are very close. Orange fungus"
2024,"9","irrigated","9_7C",7,"C",99,16,57,0,0,"medium","1","1","0","0",2018,"still separate from 9E but they are very close"
2025,"9","irrigated","9_7C",7,"C",106,57,NA,0,NA,"large","1",NA,"0",NA,2018,"close to 9E plant, but still separate"
2017,"9","irrigated","9_8C",8,"C",64,1,NA,1,NA,"small","1",NA,"1",NA,2017,""
2016,"9","irrigated","9_9E",9,"E",111,6,5,5,1,"small","1","1","1","1",2016,""
2017,"9","irrigated","9_9E",9,"E",48,5,2,1,0,"small","1","1","1","0",2016,""
2018,"9","irrigated","9_9E",9,"E",45,2,5,0,0,"small","1","1","0","0",2016,""
2019,"9","irrigated","9_9E",9,"E",55,5,6,0,2,"small","1","1","0","1",2016,""
2020,"9","irrigated","9_9E",9,"E",83,6,10,2,0,"small","1","1","1","0",2016,""
2021,"9","irrigated","9_9E",9,"E",89,10,26,0,1,"medium","1","1","0","1",2016,"Orange fungus"
2022,"9","irrigated","9_9E",9,"E",110,26,15,1,0,"large","1","1","1","0",2016,""
2023,"9","irrigated","9_9E",9,"E",85,15,11,0,0,"medium","1","1","0","0",2016,""
2024,"9","irrigated","9_9E",9,"E",79,11,27,0,0,"medium","1","1","0","0",2016,"orange fungus"
2025,"9","irrigated","9_9E",9,"E",86,27,NA,0,NA,"large","1",NA,"0",NA,2016,""
2020,"9","irrigated","9_9G",9,"G",52.5,4,9,0,0,"seedling","1","1","0","0",2020,""
2021,"9","irrigated","9_9G",9,"G",70,9,1,0,0,"medium","1","1","0","0",2020,""
2022,"9","irrigated","9_9G",9,"G",39,1,1,0,0,"small","1","1","0","0",2020,""
2023,"9","irrigated","9_9G",9,"G",50,1,NA,0,NA,"small","1","0","0",NA,2020,""
2024,"9","irrigated","9_9G",9,"G",NA,NA,NA,NA,NA,"dead","0",NA,NA,NA,2020,"No Dactylis, just Poa"
